hostname,eth_up_max,log_count
bkj-c2c4dc7b,2569011200,28798
bkj-51e1c74a,2565732670,28800
bkj-612aa0dc,2561675840,21716
bkj-debd0a25,2553882606,28787
bkj-afbe4540,2544851309,28798
bkj-45b7af61,2537553920,28799
bkj-b499dff6,2533507753,28784
bkj-4d94e783,2516582400,28800
bkj-469c1daf,2516582400,28800
bkj-497a84a2,2516582400,28799
bkj-8cdb9e61,2516582400,28799
bkj-b6731b5a,2516582400,28799
bkj-76fb77c4,2516582400,28798
bkj-22e1817a,2516582400,28797
bkj-be28c920,2516582400,28793
bkj-45f08843,2516582400,28792
bkj-76f160be,2516582400,28788
bkj-e2835903,2516582400,28784
bkj-a01b73df,2516582400,28784
bkj-0231aadd,2516582400,28784
bkj-5c07c561,2516582400,28766
bkj-a1477b78,2516582400,28730
bkj-2ecf7840,2516582400,28596
bkj-00b7611f,2516582400,28408
bkj-6e08d2b8,2516582400,28405
bkj-efa86471,2516582400,5292
bkj-b0e76c5a,2516582400,5149
bkj-d9e2b778,2515296592,28799
bkj-0abaa322,2512780056,28290
bkj-5de70ea4,2511183524,28797
bkj-26bbcf30,2505301368,28799
bkj-3f605290,2496907356,28800
bkj-16e0b2ad,2495610880,28798
bkj-dd8abd5e,2485648960,28796
bkj-385a7a33,2483694400,28794
bkj-4032eca7,2471856000,28786
bkj-7d762e8a,2470070306,28457
bkj-152fbb64,2469450472,28619
bkj-d7fb38c3,2458573752,28794
bkj-a978b529,2457183216,28797
bkj-478a017a,2438337935,28798
bkj-f759d606,2431710360,28715
bkj-d5159982,2430775095,28799
bkj-25dddcaf,2424308768,28800
bkj-ce400183,2418359411,28785
bkj-1cdfecaa,2411724800,28799
bkj-3a75c621,2411724800,28796
bkj-78f8726d,2411724800,28793
bkj-591025a2,2411724800,28771
bkj-1c3b3dca,2411724800,28730
bkj-0115c4d2,2411724800,28473
bkj-e5d37e89,2411724800,27940
bkj-ea0049dc,2406481920,28798
bkj-c4246ed5,2393041728,23111
bkj-e4d4740a,2391302448,28799
bkj-90277804,2390753280,28796
bkj-e9b9e753,2390753280,28795
bkj-1d74a4cc,2390753280,28781
bkj-a3f0e944,2381680008,28798
bkj-777f6bc9,2377361320,28600
bkj-4cccc605,2374756758,28366
bkj-0222f0b5,2373728056,28799
bkj-0f5d923f,2358319713,28783
bkj-892d50de,2357815284,28799
bkj-1998cb20,2354284304,28787
bkj-13454aec,2352854175,28605
bkj-da3d4747,2348810240,28466
bkj-348a1967,2345178240,2703
bkj-e4b6d0da,2321106840,17654
bkj-39c7a771,2320261252,28800
bkj-63c7952a,2317352960,12061
bkj-fe29391d,2314992990,28460
bkj-85d1ab21,2312877516,28701
bkj-0bff2a83,2306867200,28799
bkj-f8627a54,2306867200,28798
bkj-a460cdd9,2306867200,28797
bkj-a59c32bc,2306867200,28796
bkj-be9f1db7,2306867200,28796
bkj-d79b0f02,2306867200,28793
bkj-cdb725b3,2306867200,28787
bkj-cc7a3174,2306867200,28729
bkj-4566a9b1,2305188440,28801
bkj-c87358eb,2300927020,28794
bkj-833fba08,2298115120,28799
bkj-913273a5,2297893077,28795
bkj-2b168943,2288114829,28790
bkj-b78783eb,2268199604,28792
bkj-cb3d9061,2264924160,28799
bkj-17c21765,2264924160,28798
bkj-c736d8e9,2264924160,28796
bkj-37a82f26,2264924160,28796
bkj-edca558a,2264924160,15894
bkj-efbd848c,2264692166,28795
bkj-f4a14fa7,2262949416,28799
bkj-71e3184f,2261902344,28792
bkj-60a2bd34,2259564036,28801
bkj-f818e437,2254438400,28722
bkj-ac48559b,2247403106,28795
bkj-a341e0f9,2246032960,28792
bkj-3d9c484f,2241393924,28800
bkj-c742bb89,2233430782,28799
bkj-a9d1328d,2228698179,28799
bkj-99b8fa99,2222981120,28796
bkj-86c51216,2209515432,28442
bkj-5f470c48,2203066178,28681
bkj-c5e81fe2,2202867486,28794
bkj-200a7d38,2202009600,28800
bkj-943a3cc7,2202009600,28799
bkj-be4f4bb3,2202009600,28799
bkj-fd788ae3,2202009600,28798
bkj-729d9d0f,2202009600,28797
bkj-ee6d3fd1,2202009600,28755
bkj-434dfe58,2202009600,28741
bkj-f50e5379,2202009600,4003
bkj-440dfc45,2191523840,28800
bkj-24b8dfcf,2191523840,28795
bkj-cd61f8a4,2186674308,28790
bkj-e7dcf786,2181038080,28799
bkj-de61d038,2181038080,28798
bkj-8ee5e0b2,2181038080,2742
bkj-13426c23,2179989504,28796
bkj-a419b45d,2171535121,25842
bkj-9ff2e5a5,2150978697,28654
bkj-4214b053,2149580800,27524
bkj-2f439f57,2147483648,28472
bkj-45fb5302,2147483648,6035
bkj-efc14fde,2144181950,28795
bkj-92340990,2139095040,28799
bkj-4bcd7a0f,2139095040,28799
bkj-87262062,2139095040,28413
bkj-b9b31203,2139095040,2943
bkj-fc76c03c,2136020211,28796
bkj-e548e5e0,2128609280,28796
bkj-9973515f,2118894981,28794
bkj-eb7fccf4,2100403599,28799
bkj-3801fc3a,2097152000,28801
bkj-5c7e3613,2097152000,28801
bkj-36b22fe5,2097152000,28801
bkj-5f867eba,2097152000,28801
bkj-1b560a4c,2097152000,28801
bkj-38862aef,2097152000,28800
bkj-c7347dbb,2097152000,28800
bkj-374578d1,2097152000,28800
